x-axis,1,2
second,Volt,Volt
+0.0E+00,+193.027636E-03,+831.579765E-03
+1.563E-06,+195.439696E-03,+830.574740E-03
+3.125E-06,+197.851757E-03,+829.569715E-03
+4.688E-06,+200.263817E-03,+828.564690E-03
+6.250E-06,+202.675877E-03,+827.559665E-03
+7.813E-06,+205.087938E-03,+826.554639E-03
+9.375E-06,+207.499998E-03,+825.549614E-03
+10.938E-06,+209.912058E-03,+824.544589E-03
+12.500E-06,+212.324118E-03,+823.539564E-03
+14.063E-06,+214.736179E-03,+822.534539E-03
+15.625E-06,+217.148239E-03,+821.529514E-03
+17.188E-06,+217.952259E-03,+823.037051E-03
+18.750E-06,+218.756279E-03,+824.544589E-03
+20.313E-06,+219.560299E-03,+826.052127E-03
+21.875E-06,+220.364319E-03,+827.559665E-03
+23.438E-06,+221.168339E-03,+829.067202E-03
+25.000E-06,+221.972359E-03,+830.574740E-03
+26.563E-06,+222.776380E-03,+832.082278E-03
+28.125E-06,+223.580400E-03,+833.589815E-03
+29.688E-06,+224.384420E-03,+835.097353E-03
+31.250E-06,+225.188440E-03,+836.604891E-03
+32.813E-06,+225.590450E-03,+838.614941E-03
+34.375E-06,+225.992460E-03,+840.624991E-03
+35.938E-06,+226.394470E-03,+842.635041E-03
+37.500E-06,+226.796480E-03,+844.645091E-03
+39.063E-06,+227.198490E-03,+846.655142E-03
+40.625E-06,+227.600500E-03,+848.665192E-03
+42.188E-06,+228.002510E-03,+850.675242E-03
+43.750E-06,+228.404520E-03,+852.685292E-03
+45.313E-06,+228.806530E-03,+854.695343E-03
+46.875E-06,+229.208540E-03,+856.705393E-03
+48.438E-06,+231.620601E-03,+856.705393E-03
+50.000E-06,+234.032661E-03,+856.705393E-03
+51.563E-06,+236.444721E-03,+856.705393E-03
+53.125E-06,+238.856781E-03,+856.705393E-03
+54.688E-06,+241.268842E-03,+856.705393E-03
+56.250E-06,+243.680902E-03,+856.705393E-03
+57.813E-06,+246.092962E-03,+856.705393E-03
+59.375E-06,+248.505022E-03,+856.705393E-03
+60.938E-06,+250.917083E-03,+856.705393E-03
+62.500E-06,+253.329143E-03,+856.705393E-03
+64.063E-06,+255.942208E-03,+855.951624E-03
+65.625E-06,+258.555274E-03,+855.197855E-03
+67.188E-06,+261.168339E-03,+854.444086E-03
+68.750E-06,+263.781404E-03,+853.690317E-03
+70.313E-06,+266.394470E-03,+852.936549E-03
+71.875E-06,+269.007535E-03,+852.182780E-03
+73.438E-06,+271.620600E-03,+851.429011E-03
+75.000E-06,+274.233665E-03,+850.675242E-03
